Ticker, Code, Name
PLT,GOOG/NYSE_PLT,Plantronics
PMCS,GOOG/NASDAQ_PMCS,PMC-Sierra Inc
PLCM,GOOG/NASDAQ_PLCM,Polycom Inc
PRGS,GOOG/NASDAQ_PRGS,Progress Software Corporation
QLIK,GOOG/NASDAQ_QLIK,Qlik Technologies Inc
QLGC,GOOG/NASDAQ_QLGC,QLogic Corporation
QCOM,GOOG/NASDAQ_QCOM,QUALCOMM
QSII,GOOG/NASDAQ_QSII,Quality Systems
QSFT,GOOG/NASDAQ_QSFT,Quest Software
RAX,GOOG/NYSE_RAX,Rackspace Hosting
RMBS,GOOG/NASDAQ_RMBS,Rambus Inc.
RHT,GOOG/NYSE_RHT,Red Hat
RFMD,GOOG/NASDAQ_RFMD,RF Micro Devices
RVBD,GOOG/NASDAQ_RVBD,Riverbed Technology
ROVI,GOOG/NASDAQ_ROVI,Rovi Corporation
SAI,GOOG/NYSE_SAI,SAIC
CRM,GOOG/NYSE_CRM,salesforce.com
SNDK,GOOG/NASDAQ_SNDK,SanDisk Corporation
STX,GOOG/NASDAQ_STX,Seagate Technology PLC
SMTC,GOOG/NASDAQ_SMTC,Semtech Corporation
SLAB,GOOG/NASDAQ_SLAB,Silicon Laboratories
SWKS,GOOG/NASDAQ_SWKS,Skyworks Solutions Inc
SLH,GOOG/NYSE_SLH,Solera Holdings Inc
SONS,GOOG/NASDAQ_SONS,Sonus Networks
SYMC,GOOG/NASDAQ_SYMC,Symantec Corporation
SYNA,GOOG/NASDAQ_SYNA,Synaptics
SNPS,GOOG/NASDAQ_SNPS,Synopsys
TECD,GOOG/NASDAQ_TECD,Tech Data Corp
TLAB,GOOG/NASDAQ_TLAB,Tellabs
TDC,GOOG/NYSE_TDC,Teradata Corporation
TER,GOOG/NYSE_TER,Teradyne
TSRA,GOOG/NASDAQ_TSRA,Tessera Technologies
TXN,GOOG/NASDAQ_TXN,Texas Instruments Incorporated
TIBX,GOOG/NASDAQ_TIBX,Tibco Software Inc.
TQNT,GOOG/NASDAQ_TQNT,TriQuint Semiconductor
UIS,GOOG/NYSE_UIS,Unisys Corporation
PAY,GOOG/NYSE_PAY,VeriFone Systems Inc
VRSN,GOOG/NASDAQ_VRSN,Verisign
VSAT,GOOG/NASDAQ_VSAT,ViaSat
VMW,GOOG/NYSE_VMW,VMware
WBSN,GOOG/NASDAQ_WBSN,Websense Inc.
WDC,GOOG/NASDAQ_WDC,Western Digital Corp.
XRX,GOOG/NYSE_XRX,Xerox Corporation
XLNX,GOOG/NASDAQ_XLNX,Xilinx
YHOO,GOOG/NASDAQ_YHOO,Yahoo! Inc.
